chrom	chromStart	chromEnd	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr10	89920512	89922698	Peak_7193|chr10:89920512-89922698	-1.1736	.	Peak_7193|chr10:89920512-89922698	chr10	89920512	89922698	NA	NA	NA	Peak_7193	NA	NA	NA	TRUE	0.0027015	0.079981	NA	NA	NA	NA	NA
chr6	37019009	37019253	Peak_41305|chr6:37019009-37019253	-1.3783	.	Peak_41305|chr6:37019009-37019253	chr6	37019009	37019253	NA	NA	NA	Peak_41305	NA	NA	NA	TRUE	0.0030245	0.086421	NA	NA	NA	NA	NA
chr1	6859316	6861375	Peak_13656|chr1:6859316-6861375	-1.9297	.	Peak_13656|chr1:6859316-6861375	chr1	6859316	6861375	NA	NA	NA	Peak_13656	NA	NA	NA	TRUE	0.0046445	0.118937	NA	NA	NA	NA	NA
chr9	124568630	124570168	Peak_15587|chr9:124568630-124570168	-1.4244	.	Peak_15587|chr9:124568630-124570168	chr9	124568630	124570168	NA	NA	NA	Peak_15587	NA	NA	NA	TRUE	0.0057516	0.141615	NA	NA	NA	NA	NA
chr18	49858148	49859639	Peak_16963|chr18:49858148-49859639	-0.71243	.	Peak_16963|chr18:49858148-49859639	chr18	49858148	49859639	NA	NA	NA	Peak_16963	NA	NA	NA	TRUE	0.0041718	0.112157	NA	NA	NA	NA	NA
chr1	85289758	85290147	Peak_22366|chr1:85289758-85290147	-1.1599	.	Peak_22366|chr1:85289758-85290147	chr1	85289758	85290147	NA	NA	NA	Peak_22366	NA	NA	NA	TRUE	0.0012829	0.044644	NA	NA	NA	NA	NA
chr9	136799415	136800139	Peak_27498|chr9:136799415-136800139	-0.35483	.	Peak_27498|chr9:136799415-136800139	chr9	136799415	136800139	NA	NA	NA	Peak_27498	NA	NA	NA	TRUE	0.0036859	0.101643	NA	NA	NA	NA	NA
chr4	1981464	1982087	Peak_27559|chr4:1981464-1982087	-0.74981	.	Peak_27559|chr4:1981464-1982087	chr4	1981464	1982087	NA	NA	NA	Peak_27559	NA	NA	NA	TRUE	0.0051418	0.130128	NA	NA	NA	NA	NA
chr7	74220827	74221162	Peak_28123|chr7:74220827-74221162	-1.0031	.	Peak_28123|chr7:74220827-74221162	chr7	74220827	74221162	NA	NA	NA	Peak_28123	NA	NA	NA	TRUE	0.00015918	0.00848	NA	NA	NA	NA	NA
chr8	141137443	141138175	Peak_29716|chr8:141137443-141138175	-0.58649	.	Peak_29716|chr8:141137443-141138175	chr8	141137443	141138175	NA	NA	NA	Peak_29716	NA	NA	NA	TRUE	0.0024176	0.073724	NA	NA	NA	NA	NA
chr11	62540753	62541501	Peak_30725|chr11:62540753-62541501	-0.94672	.	Peak_30725|chr11:62540753-62541501	chr11	62540753	62541501	NA	NA	NA	Peak_30725	NA	NA	NA	TRUE	0.00055155	0.022666	NA	NA	NA	NA	NA
chr17	2756058	2756376	Peak_35163|chr17:2756058-2756376	-0.93139	.	Peak_35163|chr17:2756058-2756376	chr17	2756058	2756376	NA	NA	NA	Peak_35163	NA	NA	NA	TRUE	0.0017935	0.059302	NA	NA	NA	NA	NA
chr16	57061157	57061790	Peak_37504|chr16:57061157-57061790	-2.0014	.	Peak_37504|chr16:57061157-57061790	chr16	57061157	57061790	NA	NA	NA	Peak_37504	NA	NA	NA	TRUE	0.0011091	0.040252	NA	NA	NA	NA	NA
chr5	150295237	150295463	Peak_44460|chr5:150295237-150295463	-1.081	.	Peak_44460|chr5:150295237-150295463	chr5	150295237	150295463	NA	NA	NA	Peak_44460	NA	NA	NA	TRUE	0.005537	0.137061	NA	NA	NA	NA	NA
chr3	9955987	9956319	Peak_49276|chr3:9955987-9956319	-1.3001	.	Peak_49276|chr3:9955987-9956319	chr3	9955987	9956319	NA	NA	NA	Peak_49276	NA	NA	NA	TRUE	0.0006462	0.025999	NA	NA	NA	NA	NA
chr17	79799819	79802123	Peak_2306|chr17:79799819-79802123	-0.70376	.	Peak_2306|chr17:79799819-79802123	chr17	79799819	79802123	NA	NA	NA	Peak_2306	NA	NA	NA	TRUE	0.0012726	0.044374	NA	NA	NA	NA	NA
chr3	48013266	48014282	Peak_26522|chr3:48013266-48014282	-1.1646	.	Peak_26522|chr3:48013266-48014282	chr3	48013266	48014282	NA	NA	NA	Peak_26522	NA	NA	NA	TRUE	0.0052806	0.132476	NA	NA	NA	NA	NA
chr12	6204627	6205307	Peak_42420|chr12:6204627-6205307	-0.82199	.	Peak_42420|chr12:6204627-6205307	chr12	6204627	6205307	NA	NA	NA	Peak_42420	NA	NA	NA	TRUE	0.0025352	0.076516	NA	NA	NA	NA	NA
chrX	40090840	40091279	Peak_46362|chrX:40090840-40091279	-0.90871	.	Peak_46362|chrX:40090840-40091279	chrX	40090840	40091279	NA	NA	NA	Peak_46362	NA	NA	NA	TRUE	0.0032935	0.093207	NA	NA	NA	NA	NA
chr12	56680707	56681169	Peak_56833|chr12:56680707-56681169	-0.64707	.	Peak_56833|chr12:56680707-56681169	chr12	56680707	56681169	NA	NA	NA	Peak_56833	NA	NA	NA	TRUE	0.0018463	0.060467	NA	NA	NA	NA	NA
chr1	37998147	37998709	Peak_38162|chr1:37998147-37998709	-0.94931	.	Peak_38162|chr1:37998147-37998709	chr1	37998147	37998709	NA	NA	NA	Peak_38162	NA	NA	NA	TRUE	0.0036291	0.100559	NA	NA	NA	NA	NA
chr17	59778555	59780153	Peak_21599|chr17:59778555-59780153	-1.4281	.	Peak_21599|chr17:59778555-59780153	chr17	59778555	59780153	NA	NA	NA	Peak_21599	NA	NA	NA	TRUE	0.005038	0.128064	NA	NA	NA	NA	NA
chr14	97180012	97181444	Peak_13581|chr14:97180012-97181444	-0.51023	.	Peak_13581|chr14:97180012-97181444	chr14	97180012	97181444	NA	NA	NA	Peak_13581	NA	NA	NA	TRUE	0.0038081	0.104829	NA	NA	NA	NA	NA
chr1	204377048	204378872	Peak_15554|chr1:204377048-204378872	-1.2965	.	Peak_15554|chr1:204377048-204378872	chr1	204377048	204378872	NA	NA	NA	Peak_15554	NA	NA	NA	TRUE	0.0018463	0.060467	NA	NA	NA	NA	NA
chr11	65587671	65589117	Peak_17817|chr11:65587671-65589117	-0.92478	.	Peak_17817|chr11:65587671-65589117	chr11	65587671	65589117	NA	NA	NA	Peak_17817	NA	NA	NA	TRUE	0.0036865	0.101643	NA	NA	NA	NA	NA
chr19	4583950	4584941	Peak_18012|chr19:4583950-4584941	-0.92344	.	Peak_18012|chr19:4583950-4584941	chr19	4583950	4584941	NA	NA	NA	Peak_18012	NA	NA	NA	TRUE	0.0047557	0.121247	NA	NA	NA	NA	NA
chr3	133805820	133806568	Peak_24373|chr3:133805820-133806568	-2.8458	.	Peak_24373|chr3:133805820-133806568	chr3	133805820	133806568	NA	NA	NA	Peak_24373	NA	NA	NA	TRUE	0.0064738	0.156058	NA	NA	NA	NA	NA
chr12	124803964	124804560	Peak_26449|chr12:124803964-124804560	-1.4802	.	Peak_26449|chr12:124803964-124804560	chr12	124803964	124804560	NA	NA	NA	Peak_26449	NA	NA	NA	TRUE	0.0043542	0.115241	NA	NA	NA	NA	NA
chr2	37536036	37536434	Peak_28034|chr2:37536036-37536434	-1.5012	.	Peak_28034|chr2:37536036-37536434	chr2	37536036	37536434	NA	NA	NA	Peak_28034	NA	NA	NA	TRUE	0.001046	0.038848	NA	NA	NA	NA	NA
chr1	21622862	21623273	Peak_28693|chr1:21622862-21623273	-0.99197	.	Peak_28693|chr1:21622862-21623273	chr1	21622862	21623273	NA	NA	NA	Peak_28693	NA	NA	NA	TRUE	0.0058634	0.143347	NA	NA	NA	NA	NA
chr3	197599295	197599848	Peak_29089|chr3:197599295-197599848	-0.62441	.	Peak_29089|chr3:197599295-197599848	chr3	197599295	197599848	NA	NA	NA	Peak_29089	NA	NA	NA	TRUE	0.0008682	0.0333	NA	NA	NA	NA	NA
chr8	73520937	73521411	Peak_42270|chr8:73520937-73521411	-1.0256	.	Peak_42270|chr8:73520937-73521411	chr8	73520937	73521411	NA	NA	NA	Peak_42270	NA	NA	NA	TRUE	0.0018893	0.06162	NA	NA	NA	NA	NA
chr10	122306765	122309315	Peak_451|chr10:122306765-122309315	-1.351	.	Peak_451|chr10:122306765-122309315	chr10	122306765	122309315	NA	NA	NA	Peak_451	NA	NA	NA	TRUE	0.0030343	0.086421	NA	NA	NA	NA	NA
chr13	97976569	97977858	Peak_6379|chr13:97976569-97977858	-1.6221	.	Peak_6379|chr13:97976569-97977858	chr13	97976569	97977858	NA	NA	NA	Peak_6379	NA	NA	NA	TRUE	0.0028685	0.082931	NA	NA	NA	NA	NA
chr20	31703587	31707629	Peak_2216|chr20:31703587-31707629	-0.80844	.	Peak_2216|chr20:31703587-31707629	chr20	31703587	31707629	NA	NA	NA	Peak_2216	NA	NA	NA	TRUE	0.0024021	0.073724	NA	NA	NA	NA	NA
chr19	1240913	1249660	Peak_1105|chr19:1240913-1249660	-0.45733	.	Peak_1105|chr19:1240913-1249660	chr19	1240913	1249660	NA	NA	NA	Peak_1105	NA	NA	NA	TRUE	0.0065398	0.157211	NA	NA	NA	NA	NA
chr8	127898692	127899552	Peak_34703|chr8:127898692-127899552	-1.3471	.	Peak_34703|chr8:127898692-127899552	chr8	127898692	127899552	NA	NA	NA	Peak_34703	NA	NA	NA	TRUE	0.00080797	0.03148	NA	NA	NA	NA	NA
chr14	74615868	74620751	Peak_10169|chr14:74615868-74620751	-0.90521	.	Peak_10169|chr14:74615868-74620751	chr14	74615868	74620751	NA	NA	NA	Peak_10169	NA	NA	NA	TRUE	0.0047001	0.120006	NA	NA	NA	NA	NA
chr8	125694157	125703362	Peak_1046|chr8:125694157-125703362	-0.78516	.	Peak_1046|chr8:125694157-125703362	chr8	125694157	125703362	NA	NA	NA	Peak_1046	NA	NA	NA	TRUE	0.0032941	0.093207	NA	NA	NA	NA	NA
chr12	54358253	54359157	Peak_11035|chr12:54358253-54359157	-0.69049	.	Peak_11035|chr12:54358253-54359157	chr12	54358253	54359157	NA	NA	NA	Peak_11035	NA	NA	NA	TRUE	0.0025157	0.076177	NA	NA	NA	NA	NA
chr12	121466217	121467353	Peak_11122|chr12:121466217-121467353	-1.4825	.	Peak_11122|chr12:121466217-121467353	chr12	121466217	121467353	NA	NA	NA	Peak_11122	NA	NA	NA	TRUE	0.0026568	0.078944	NA	NA	NA	NA	NA
chr9	136800558	136802477	Peak_14132|chr9:136800558-136802477	-1.0067	.	Peak_14132|chr9:136800558-136802477	chr9	136800558	136802477	NA	NA	NA	Peak_14132	NA	NA	NA	TRUE	0.003885	0.106103	NA	NA	NA	NA	NA
chr1	8195814	8199790	Peak_1782|chr1:8195814-8199790	-1.6735	.	Peak_1782|chr1:8195814-8199790	chr1	8195814	8199790	NA	NA	NA	Peak_1782	NA	NA	NA	TRUE	0.0004787	0.020708	NA	NA	NA	NA	NA
chr1	31931114	31933396	Peak_19310|chr1:31931114-31933396	-0.59993	.	Peak_19310|chr1:31931114-31933396	chr1	31931114	31933396	NA	NA	NA	Peak_19310	NA	NA	NA	TRUE	0.0045234	0.116878	NA	NA	NA	NA	NA
chr19	800126	802363	Peak_20749|chr19:800126-802363	-1.068	.	Peak_20749|chr19:800126-802363	chr19	800126	802363	NA	NA	NA	Peak_20749	NA	NA	NA	TRUE	0.0027555	0.081298	NA	NA	NA	NA	NA
chr17	42541129	42541906	Peak_22242|chr17:42541129-42541906	-1.2209	.	Peak_22242|chr17:42541129-42541906	chr17	42541129	42541906	NA	NA	NA	Peak_22242	NA	NA	NA	TRUE	0.0057808	0.142133	NA	NA	NA	NA	NA
chr16	67833181	67833862	Peak_25240|chr16:67833181-67833862	-2.3626	.	Peak_25240|chr16:67833181-67833862	chr16	67833181	67833862	NA	NA	NA	Peak_25240	NA	NA	NA	TRUE	2.87E-07	0.000063	NA	NA	NA	NA	NA
chr5	181217476	181218166	Peak_26738|chr5:181217476-181218166	-0.51907	.	Peak_26738|chr5:181217476-181218166	chr5	181217476	181218166	NA	NA	NA	Peak_26738	NA	NA	NA	TRUE	0.0022392	0.070526	NA	NA	NA	NA	NA
chr9	130860555	130861130	Peak_31694|chr9:130860555-130861130	-0.79862	.	Peak_31694|chr9:130860555-130861130	chr9	130860555	130861130	NA	NA	NA	Peak_31694	NA	NA	NA	TRUE	0.00049132	0.021043	NA	NA	NA	NA	NA
chr5	52799350	52801776	Peak_3233|chr5:52799350-52801776	-3.8322	.	Peak_3233|chr5:52799350-52801776	chr5	52799350	52801776	NA	NA	NA	Peak_3233	NA	NA	NA	TRUE	0.000038147	0.002666	NA	NA	NA	NA	NA
chr19	38664983	38665351	Peak_37691|chr19:38664983-38665351	-1.3615	.	Peak_37691|chr19:38664983-38665351	chr19	38664983	38665351	NA	NA	NA	Peak_37691	NA	NA	NA	TRUE	0.0053581	0.134044	NA	NA	NA	NA	NA
chr10	63630616	63631450	Peak_5785|chr10:63630616-63631450	-0.89566	.	Peak_5785|chr10:63630616-63631450	chr10	63630616	63631450	NA	NA	NA	Peak_5785	NA	NA	NA	TRUE	0.0012302	0.043244	NA	NA	NA	NA	NA
chr3	47824253	47825921	Peak_6316|chr3:47824253-47825921	-4.3577	.	Peak_6316|chr3:47824253-47825921	chr3	47824253	47825921	NA	NA	NA	Peak_6316	NA	NA	NA	TRUE	0.000015201	0.001411	NA	NA	NA	NA	NA
