chrom	chromStart	chromEnd	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr7	6058597	6059412	PMS2|chr7:6058597-6059412:.	3.425	.	chr7:6058597-6059412:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5607061	5607714	PMS2|chr7:5607061-5607714:.	3.467	.	chr7:5607061-5607714:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5426774	5428241	PMS2|chr7:5426774-5428241:.	3.793	.	chr7:5426774-5428241:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	6081033	6081797	PMS2|chr7:6081033-6081797:.	3.793	.	chr7:6081033-6081797:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	6663773	6664698	PMS2|chr7:6663773-6664698:.	3.473	.	chr7:6663773-6664698:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5071872	5073109	PMS2|chr7:5071872-5073109:.	3.317	.	chr7:5071872-5073109:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5529672	5532270	PMS2|chr7:5529672-5532270:.	2.906	.	chr7:5529672-5532270:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5569296	5570610	PMS2|chr7:5569296-5570610:.	3.037	.	chr7:5569296-5570610:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5592622	5594535	PMS2|chr7:5592622-5594535:.	3.587	.	chr7:5592622-5594535:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	6483307	6484464	PMS2|chr7:6483307-6484464:.	3.977	.	chr7:6483307-6484464:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5555056	5556791	PMS2|chr7:5555056-5556791:.	3.38	.	chr7:5555056-5556791:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chrX	135031924	135033120	HPRT1|chrX:135031924-135033120:.	2.938	.	chrX:135031924-135033120:.	NA	NA	NA	+	NA	NA	HPRT1	ENSG00000165704.15	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chrX	134373043	134373594	HPRT1|chrX:134373043-134373594:.	3.47	.	chrX:134373043-134373594:.	NA	NA	NA	+	NA	NA	HPRT1	ENSG00000165704.15	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chrX	134914362	134915747	HPRT1|chrX:134914362-134915747:.	3.737	.	chrX:134914362-134915747:.	NA	NA	NA	+	NA	NA	HPRT1	ENSG00000165704.15	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chrX	134549336	134550882	HPRT1|chrX:134549336-134550882:.	3.433	.	chrX:134549336-134550882:.	NA	NA	NA	+	NA	NA	HPRT1	ENSG00000165704.15	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chrX	135342909	135344870	HPRT1|chrX:135342909-135344870:.	2.688	.	chrX:135342909-135344870:.	NA	NA	NA	+	NA	NA	HPRT1	ENSG00000165704.15	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
